שם תוכנית_מקור,n_test,mae,bias,actual_mean,actual_std,n_hist,learnability,mae_per_actual
מדד גלבוע,102,0.24197636915282567,-0.06187591233576619,0.7491455148430837,0.6714134079488953,504.5,2.774706514935964,0.32300316074575997
שיחת נפש,28,0.2417908993393069,-0.013881160028129764,0.3646867612293144,0.31464157427318656,49.5,1.3012961824987788,0.6630098074420343
חדשות איי 24 - מבזק מיוחד,75,0.24154342299383438,0.04478655347927664,0.34077302106427887,0.3950913935890794,47.0,1.6356951006658726,0.708810287385611
הערביסטים,57,0.22402040802064835,-0.05185416552695967,0.542431485381836,0.4851076915828255,354.0,2.165462048163542,0.4129930029097642
הסיפורים הגדולים לקט,104,0.2231420416762543,-0.05370296198583873,0.4104516294531177,0.3592805897767677,167.5,1.610098155765869,0.5436500324619661
מיוחד-מתקפה באיראן - לפנות בוקר ע.איי 24,15,0.21954059237930723,0.11049977842134023,0.20893878334292842,0.1552399435681129,32.0,0.7071127115294467,1.0507412212646907
חוק וצדק איי 24,14,0.1892664438791273,0.02432860627115793,0.35128903727735167,0.25782610017766566,37.5,1.36223883586212,0.5387769722221551
מדברים חדשות,40,0.18145571042639672,0.004792409242770043,0.35472589693651313,0.2754835326341676,362.5,1.5181860740938824,0.5115378155175195
7 דניאל רוט אבנרי,10,0.17143259324092788,-0.0014353671214137164,0.4726750082681071,0.3248196924229248,21.5,1.894737087517715,0.36268596867234665
שותפים חיים,26,0.16930215369498375,0.055384408045605626,0.17590595840788764,0.15948794655752105,13.5,0.9420314099775479,0.962458322772722
הערביסטים לקט,25,0.16673445063008013,-0.0568326590451632,0.26824179620034544,0.3447169722567787,28.0,2.067460989340311,0.6215826653112212
מהדורת 15 - מוקדמת,14,0.1659438852888906,0.04788033819133973,0.3439004992361844,0.2048116144518181,56.5,1.2342221233115216,0.48253458676988853
קול העסק איי 24,15,0.1599614989481628,0.043619135083161426,0.34789704267159893,0.22813687497759283,36.0,1.4261986570376097,0.45979551225780363
סיכום שבועי איי 24,5,0.131601430497521,0.131601430497521,0.1895744680851064,0.14695375177485676,72.0,1.116657708197366,0.6941938533539266
עדויות יום השואה,18,0.11332761179385405,0.05301660972574231,0.08333333333333333,0.07634059673751348,9.5,0.6736275081520209,1.3599313415262486
